city,element_id,prevalence
BuenosAires,F000,0.008014474055622093
Sydney,F000,0.007295553850023954
Vienna,F000,0.008983228935138412
Dhaka,F000,0.008519877705335441
SaoPaulo,F000,0.011912478964359957
Toronto,F000,0.008855238608167112
HongKong,F000,0.006200243348501092
Bogota,F000,0.012715548239656082
Paris,F000,0.009283522478203693
Mumbai,F000,0.00817578016752036
NewDelhi,F000,0.007929300046054124
Jakarta,F000,0.008940060711368436
Osaka,F000,0.005060837256338948
KualaLumpur,F000,0.007908823167112734
MexicoCity,F000,0.012223306250399846
Amsterdam,F000,0.01192615664827526
Lagos,F000,0.0068754967439237005
Lima,F000,0.010296575475780285
Manila,F000,0.008334225834141912
Moscow,F000,0.004319698529965231
Singapore,F000,0.008616458175415896
CapeTown,F000,0.006950241309499823
Johannesburg,F000,0.005950758939722765
Seoul,F000,0.006523927645249102
Taipei,F000,0.005877895665842094
Bangkok,F000,0.006906635287505708
Istanbul,F000,0.008522946332185267
London,F000,0.014307976264682788
LosAngeles,F000,0.008241665555460947
NewYorkCity,F000,0.011355862182929851
BuenosAires,F001,0.02132275900123275
Sydney,F001,0.025041939520567588
Vienna,F001,0.02503131945847646
Dhaka,F001,0.020900846160770547
SaoPaulo,F001,0.03148121241925028
Toronto,F001,0.01746603448165317
HongKong,F001,0.040019094981459544
Bogota,F001,0.017072059834113754
Paris,F001,0.02546393258974234
Mumbai,F001,0.023777789696693395
NewDelhi,F001,0.020767316694276228
Jakarta,F001,0.020903301400453655
Osaka,F001,0.029052910171438812
KualaLumpur,F001,0.025106664128377698
MexicoCity,F001,0.03174820868786386
Amsterdam,F001,0.018846750663237048
Lagos,F001,0.043537601912624346
Lima,F001,0.0263096726039671
Manila,F001,0.019873861661841834
Moscow,F001,0.017868153303854696
Singapore,F001,0.02857923391736633
CapeTown,F001,0.042652533509877855
Johannesburg,F001,0.041522307540088045
Seoul,F001,0.028014512829599086
Taipei,F001,0.025872967558235416
Bangkok,F001,0.019980664774124326
Istanbul,F001,0.0208157964067239
London,F001,0.02045511580276696
LosAngeles,F001,0.03663605094088332
NewYorkCity,F001,0.02215070643642072
BuenosAires,F002,0.00664576997478682
Sydney,F002,0.0056159701848863906
Vienna,F002,0.016969084663568397
Dhaka,F002,0.008458794670987488
SaoPaulo,F002,0.009598957717964356
Toronto,F002,0.0032819442574390737
HongKong,F002,0.011005733316402878
Bogota,F002,0.007180812810637175
Paris,F002,0.010557612066306236
Mumbai,F002,0.012697667766186633
NewDelhi,F002,0.010682236855671875
Jakarta,F002,0.011568009360868181
Osaka,F002,0.007527850406275102
KualaLumpur,F002,0.009338610414770283
MexicoCity,F002,0.006663841085023351
Amsterdam,F002,0.007447792789083352
Lagos,F002,0.005676100528150959
Lima,F002,0.006051510223384696
Manila,F002,0.011068475326215707
Moscow,F002,0.006453723292660076
Singapore,F002,0.008844985829676086
CapeTown,F002,0.004475979390345701
Johannesburg,F002,0.0049069937941795694
Seoul,F002,0.007923264017524927
Taipei,F002,0.009773677463409606
Bangkok,F002,0.010727378105052067
Istanbul,F002,0.009597652033105433
London,F002,0.009131863772879244
LosAngeles,F002,0.004768277459767659
NewYorkCity,F002,0.004726514087416343
BuenosAires,F003,0.0009237656147088045
Sydney,F003,0.0018854758673509445
Vienna,F003,0.002874924227116589
Dhaka,F003,0.0008101539292465569
SaoPaulo,F003,0.001037013146676289
Toronto,F003,0.0018761981701257318
HongKong,F003,0.0015876319812007658
Bogota,F003,0.0009740622952391606
Paris,F003,0.001318737518873898
Mumbai,F003,0.0006793781901722582
NewDelhi,F003,0.0009511551336600656
Jakarta,F003,0.0011373390900967578
Osaka,F003,0.000851273550034723
KualaLumpur,F003,0.0010042505675155536
MexicoCity,F003,0.000877662977416672
Amsterdam,F003,0.0018928292893231348
Lagos,F003,0.0006718060968105836
Lima,F003,0.0007886105494455999
Manila,F003,0.001198482055938221
Moscow,F003,0.0007995586212198133
Singapore,F003,0.0011313728235557293
CapeTown,F003,0.0014528143180168164
Johannesburg,F003,0.001227458079082849
Seoul,F003,0.001080005798688852
Taipei,F003,0.0011724386724386725
Bangkok,F003,0.0011368027104442153
Istanbul,F003,0.0008959896931064617
London,F003,0.002132292821928454
LosAngeles,F003,0.0016836774857939712
NewYorkCity,F003,0.0027869123357845164
BuenosAires,F004,0.015268246862705386
Sydney,F004,0.0166524331331025
Vienna,F004,0.011185289957567185
Dhaka,F004,0.016634678446047605
SaoPaulo,F004,0.01329915474247906
Toronto,F004,0.016788006437259164
HongKong,F004,0.014825533269147621
Bogota,F004,0.008853259393028941
Paris,F004,0.012129219229457894
Mumbai,F004,0.018134928084242895
NewDelhi,F004,0.015158766436854296
Jakarta,F004,0.014946857571257532
Osaka,F004,0.015648552034895815
KualaLumpur,F004,0.015444101917634656
MexicoCity,F004,0.014222938391657603
Amsterdam,F004,0.016048883355858364
Lagos,F004,0.005316762383345298
Lima,F004,0.008429406286042438
Manila,F004,0.015762896370265816
Moscow,F004,0.013741037496376562
Singapore,F004,0.020538520589215105
CapeTown,F004,0.013646220124156856
Johannesburg,F004,0.01405676719901122
Seoul,F004,0.012332280978689818
Taipei,F004,0.01482901399196042
Bangkok,F004,0.01321932309146472
Istanbul,F004,0.01136673970595795
London,F004,0.012049397307514835
LosAngeles,F004,0.017456506337085727
NewYorkCity,F004,0.015034702139965299
BuenosAires,F005,0.0014125600228369851
Sydney,F005,0.000536361203820462
Vienna,F005,0.000817943018791675
Dhaka,F005,0.004984697092447565
SaoPaulo,F005,0.0007715729070536054
Toronto,F005,0.0002364282187898722
HongKong,F005,0.002206450824797116
Bogota,F005,0.0009932398958017036
Paris,F005,0.0006969136103128602
Mumbai,F005,0.0027993063191110875
NewDelhi,F005,0.0019882321402794867
Jakarta,F005,0.0013527381658389056
Osaka,F005,0.001020088135614917
KualaLumpur,F005,0.0011142342019507497
MexicoCity,F005,0.0010811848250271896
Amsterdam,F005,0.0010475350833426178
Lagos,F005,0.00028482655625064094
Lima,F005,0.0006542934033391081
Manila,F005,0.001511789802472254
Moscow,F005,0.0008139722969153132
Singapore,F005,0.0017228088301798126
CapeTown,F005,0.00037979460707649306
Johannesburg,F005,0.0005012019113797164
Seoul,F005,0.001833432662725706
Taipei,F005,0.0026247004483611626
Bangkok,F005,0.0014066336908726876
Istanbul,F005,0.0011706902534313474
London,F005,0.0007111690372301241
LosAngeles,F005,0.000587198588795512
NewYorkCity,F005,0.0006717342807568372
BuenosAires,F006,0.0017223424495218108
Sydney,F006,0.0020088509612842544
Vienna,F006,0.004364518084461508
