city,rank,element_id,prevalence
BuenosAires,1,F054,0.09505097655222126
BuenosAires,2,F058,0.05098691817119127
BuenosAires,3,F028,0.047003203875908416
BuenosAires,4,F021,0.04567556490440202
BuenosAires,5,F013,0.0432148478677241
BuenosAires,6,F036,0.04180428129679628
BuenosAires,7,F007,0.03215597405641947
BuenosAires,8,F010,0.03174891117656721
BuenosAires,9,F053,0.0312621102203482
BuenosAires,10,F045,0.031152869055725754
Sydney,1,F054,0.09558124890845088
Sydney,2,F058,0.06477873397926337
Sydney,3,F036,0.05332367696234496
Sydney,4,F013,0.05274405436195048
Sydney,5,F029,0.04529828732937785
Sydney,6,F057,0.04207170816823236
Sydney,7,F028,0.03892043588260459
Sydney,8,F021,0.03758293770519121
Sydney,9,F045,0.03719158229359106
Sydney,10,F052,0.029287564912123285
Vienna,1,F054,0.07341240654677712
Vienna,2,F036,0.07089068498686603
Vienna,3,F028,0.06341725601131541
Vienna,4,F013,0.05483855324307941
Vienna,5,F021,0.042727015558698726
Vienna,6,F010,0.040524954536269954
Vienna,7,F058,0.03823883612851081
Vienna,8,F040,0.031424126086077996
Vienna,9,F057,0.03121721559911093
Vienna,10,F029,0.027944231157809658
Dhaka,1,F021,0.06453020716793334
Dhaka,2,F036,0.05471954849992927
Dhaka,3,F013,0.04953753713205509
Dhaka,4,F053,0.04807355361804457
Dhaka,5,F022,0.04000255584275298
Dhaka,6,F007,0.039474910947365716
Dhaka,7,F042,0.03910961832748222
Dhaka,8,F028,0.03634681660944151
Dhaka,9,F054,0.03618245502359734
Dhaka,10,F045,0.03243790427324049
SaoPaulo,1,F054,0.08821157942131633
SaoPaulo,2,F036,0.050237259666814624
SaoPaulo,3,F058,0.04838915694583263
SaoPaulo,4,F021,0.04342362825274062
SaoPaulo,5,F028,0.0430021171353849
SaoPaulo,6,F013,0.04069019252200959
SaoPaulo,7,F057,0.03948194048390754
SaoPaulo,8,F029,0.038102449554379726
SaoPaulo,9,F007,0.03533149294767195
SaoPaulo,10,F010,0.03380511178027775
Toronto,1,F054,0.08660686234908667
Toronto,2,F036,0.080849634858656
Toronto,3,F058,0.056409368648496154
Toronto,4,F013,0.05331376188552707
Toronto,5,F021,0.046006927747536334
Toronto,6,F057,0.04365867459141998
Toronto,7,F028,0.0375820686427257
Toronto,8,F029,0.032309318637916994
Toronto,9,F045,0.031066267223194652
Toronto,10,F010,0.030100518058307206
HongKong,1,F054,0.05904415794828603
HongKong,2,F036,0.056507000689540995
HongKong,3,F013,0.052245990937920414
HongKong,4,F058,0.05103768687123585
HongKong,5,F028,0.04712305493986206
HongKong,6,F027,0.040436998616096044
HongKong,7,F001,0.040019094981459544
HongKong,8,F021,0.039880061656859325
HongKong,9,F007,0.03521681965690111
HongKong,10,F010,0.034426017394435134
Bogota,1,F054,0.09640300129448803
Bogota,2,F058,0.05643128825531779
Bogota,3,F028,0.054401259329103606
Bogota,4,F013,0.05275318428076007
Bogota,5,F036,0.04278842312179375
Bogota,6,F057,0.03838876192607035
Bogota,7,F022,0.03779945024211721
Bogota,8,F010,0.03692926661659182
